order_number,order_date,ship_date,customer_id,sales_channel,currency_code,warehouse_code,region_id,product_id,order_quantity,unit_price,total_unit_cost,total_revenue
SO - 0005768,9/13/2021,9/21/2021,38,Global Sales,AUD,RPT503,57,1,11,1145.7,492.651,12602.7
SO - 0005851,9/13/2021,9/29/2021,5,Trade Supply,USD,RPT503,51,8,9,1092.1,917.364,9828.9
SO - 0005982,9/13/2021,9/20/2021,9,Global Sales,USD,RPT503,85,2,11,5554.3,2777.15,61097.3
SO - 0006839,9/13/2021,9/26/2021,26,Logistics Partner,NZD,RPT503,52,13,9,1876.0,1575.84,16884.0
SO - 0006890,9/13/2021,9/22/2021,48,Logistics Partner,NZD,RPT503,87,7,5,1092.1,775.391,5460.5
SO - 0006964,9/13/2021,9/24/2021,4,Logistics Partner,EUR,RPT503,38,11,9,1118.9,604.206,10070.1
SO - 0007568,9/13/2021,9/17/2021,36,Trade Supply,NZD,RPT503,16,4,8,1098.8,879.04,8790.4
SO - 0001508,9/14/2021,9/28/2021,18,Trade Supply,USD,RPT503,12,5,8,3959.7,2652.999,31677.6
SO - 0001561,9/14/2021,9/30/2021,15,Global Sales,USD,RPT503,72,1,11,5038.4,3023.04,55422.4
SO - 0002092,9/14/2021,9/21/2021,39,Logistics Partner,USD,RPT503,13,1,10,991.6,743.7,9916.0
SO - 0002441,9/14/2021,9/17/2021,20,Global Sales,USD,RPT503,24,5,9,2539.3,1295.043,22853.7
SO - 0005841,9/14/2021,1/10/2021,10,Logistics Partner,USD,RPT503,9,11,5,268.0,163.48,1340.0
SO - 0006016,9/14/2021,9/26/2021,31,Trade Supply,NZD,RPT503,44,13,11,884.4,442.2,9728.4
SO - 0007033,9/14/2021,9/28/2021,38,Trade Supply,NZD,RPT503,37,1,9,1045.2,606.216,9406.8
SO - 0007184,9/14/2021,9/27/2021,7,Trade Supply,USD,RPT503,64,7,10,1963.1,1217.122,19631.0
SO - 0007953,9/14/2021,9/19/2021,42,Trade Supply,NZD,RPT503,85,7,7,2345.0,1782.2,16415.0
SO - 0001039,9/15/2021,9/21/2021,39,Trade Supply,NZD,RPT503,58,11,7,3396.9,2140.047,23778.3
SO - 0001240,9/15/2021,9/22/2021,16,Logistics Partner,USD,RPT503,97,2,5,3906.1,1757.745,19530.5
SO - 0002002,9/15/2021,9/25/2021,24,Logistics Partner,NZD,RPT503,98,5,12,3182.5,2004.975,38190.0
SO - 0004363,9/15/2021,9/24/2021,18,Trade Supply,USD,RPT503,56,7,5,1179.2,801.856,5896.0
SO - 0004920,9/15/2021,9/27/2021,40,Trade Supply,USD,RPT503,45,7,6,3993.2,3154.628,23959.2
SO - 0005393,9/15/2021,9/21/2021,48,Logistics Partner,GBP,RPT503,61,1,8,951.4,732.578,7611.2
SO - 0007643,9/15/2021,3/10/2021,25,Trade Supply,GBP,RPT503,63,1,6,911.2,446.488,5467.2
SO - 0007807,9/15/2021,2/10/2021,1,Logistics Partner,AUD,RPT503,23,1,8,1815.7,1034.949,14525.6
SO - 0007900,9/15/2021,9/25/2021,48,Logistics Partner,NZD,RPT503,86,5,12,2224.4,1557.08,26692.8
SO - 000854,9/16/2021,3/10/2021,18,Trade Supply,AUD,RPT503,38,2,6,1768.8,1043.592,10612.8
SO - 0001159,9/16/2021,9/24/2021,19,Trade Supply,GBP,RPT503,55,13,5,891.1,552.482,4455.5
SO - 0002976,9/16/2021,2/10/2021,20,Trade Supply,USD,RPT503,1,7,10,891.1,730.702,8911.0
SO - 0003078,9/16/2021,9/28/2021,26,Trade Supply,USD,RPT503,15,5,9,797.3,645.813,7175.7
SO - 0004649,9/16/2021,9/22/2021,13,Logistics Partner,EUR,RPT503,82,1,11,3986.5,2910.145,43851.5
SO - 0005088,9/16/2021,9/20/2021,47,Trade Supply,GBP,RPT503,46,2,6,1125.6,596.568,6753.6
SO - 000833,9/17/2021,9/24/2021,31,Trade Supply,NZD,RPT503,79,12,11,1145.7,687.42,12602.7
SO - 0001439,9/17/2021,9/30/2021,9,Logistics Partner,NZD,RPT503,48,1,11,2633.1,2080.149,28964.1
SO - 0001573,9/17/2021,9/25/2021,3,Logistics Partner,USD,RPT503,8,13,9,1092.1,698.944,9828.9
SO - 0002619,9/17/2021,4/10/2021,24,Trade Supply,NZD,RPT503,24,13,7,3825.7,2180.649,26779.9
SO - 0004699,9/17/2021,9/28/2021,14,Trade Supply,NZD,RPT503,3,11,8,1239.5,706.515,9916.0
SO - 0006354,9/17/2021,9/28/2021,11,Trade Supply,USD,RPT503,27,13,5,2559.4,1484.452,12797.0
SO - 0001899,9/18/2021,9/27/2021,14,Trade Supply,EUR,RPT503,38,14,11,1105.5,442.2,12160.5
SO - 0002063,9/18/2021,9/26/2021,4,Logistics Partner,EUR,RPT503,54,1,7,1125.6,855.456,7879.2
SO - 0003592,9/18/2021,9/22/2021,1,Trade Supply,USD,RPT503,83,7,9,3021.7,1269.114,27195.3
SO - 0004066,9/18/2021,1/10/2021,50,Logistics Partner,AUD,RPT503,7,2,6,1072.0,707.52,6432.0
SO - 0005099,9/18/2021,5/10/2021,12,Trade Supply,USD,RPT503,70,1,5,5916.1,3253.855,29580.5
SO - 000468,9/19/2021,9/28/2021,42,Logistics Partner,AUD,RPT503,69,1,7,991.6,594.96,6941.2
SO - 000640,9/19/2021,5/10/2021,11,Trade Supply,USD,RPT503,25,6,12,1098.8,769.16,13185.6
SO - 0002238,9/19/2021,6/10/2021,21,Trade Supply,USD,RPT503,47,6,7,1031.8,546.854,7222.6
SO - 0002304,9/19/2021,9/27/2021,30,Logistics Partner,NZD,RPT503,78,7,7,844.2,337.68,5909.4
SO - 0002713,9/19/2021,9/30/2021,11,Trade Supply,USD,RPT503,84,13,11,2291.4,1672.722,25205.4
SO - 0004791,9/19/2021,7/10/2021,15,Trade Supply,AUD,RPT503,90,7,6,3912.8,3208.496,23476.8
SO - 0005134,9/19/2021,9/25/2021,18,Trade Supply,USD,RPT503,46,7,10,958.1,469.469,9581.0
SO - 0005538,9/19/2021,9/29/2021,36,Trade Supply,AUD,RPT503,26,3,12,1051.9,525.95,12622.8
SO - 0007215,9/19/2021,9/22/2021,29,Global Sales,USD,RPT503,35,13,6,1105.5,840.18,6633.0
SO - 0007233,9/19/2021,9/27/2021,8,Logistics Partner,NZD,RPT503,77,2,8,1132.3,724.672,9058.4
SO - 0007552,9/19/2021,5/10/2021,18,Trade Supply,AUD,RPT503,86,5,5,4006.6,2043.366,20033.0
SO - 0008030,9/19/2021,1/10/2021,11,Global Sales,NZD,RPT503,18,5,9,5788.8,2431.296,52099.2
SO - 000139,9/20/2021,9/25/2021,34,Trade Supply,NZD,RPT503,42,2,6,3497.4,1958.544,20984.4
SO - 000197,9/20/2021,2/10/2021,30,Global Sales,AUD,RPT503,32,14,9,3993.2,2835.172,35938.8
SO - 0001010,9/20/2021,6/10/2021,2,Trade Supply,NZD,RPT503,18,7,9,1078.7,593.285,9708.3
SO - 0002519,9/20/2021,2/10/2021,31,Logistics Partner,NZD,RPT503,66,1,9,234.5,136.01,2110.5
SO - 000476,9/21/2021,7/10/2021,44,Global Sales,NZD,RPT503,1,13,11,1125.6,562.8,12381.6
SO - 0001464,9/21/2021,9/30/2021,34,Trade Supply,NZD,RPT503,76,13,5,1681.7,1194.007,8408.5
SO - 0001846,9/21/2021,9/24/2021,30,Trade Supply,NZD,RPT503,52,2,12,1969.8,1378.86,23637.6
SO - 0001885,9/21/2021,4/10/2021,11,Trade Supply,NZD,RPT503,86,2,8,3899.4,3275.496,31195.2
SO - 0002102,9/21/2021,9/24/2021,19,Logistics Partner,USD,RPT503,93,7,6,971.5,388.6,5829.0
SO - 0002574,9/21/2021,9/29/2021,14,Logistics Partner,USD,RPT503,68,2,9,2740.3,1863.404,24662.7
SO - 0003263,9/21/2021,1/10/2021,26,Global Sales,GBP,RPT503,96,1,12,904.5,669.33,10854.0
SO - 0004701,9/21/2021,3/10/2021,40,Trade Supply,NZD,RPT503,19,2,5,3839.1,1881.159,19195.5
SO - 0004890,9/21/2021,9/10/2021,16,Trade Supply,GBP,RPT503,28,13,7,167.5,122.275,1172.5
SO - 0004916,9/21/2021,8/10/2021,17,Global Sales,NZD,RPT503,86,1,5,1058.6,688.09,5293.0
SO - 0004982,9/21/2021,9/27/2021,18,Logistics Partner,USD,RPT503,97,11,7,6123.8,4041.708,42866.6
SO - 0007249,9/21/2021,6/10/2021,12,Global Sales,NZD,RPT503,75,12,8,5607.9,4374.162,44863.2
SO - 0007411,9/21/2021,9/10/2021,11,Trade Supply,USD,RPT503,7,5,10,1092.1,502.366,10921.0
SO - 000481,9/22/2021,5/10/2021,2,Trade Supply,AUD,RPT503,34,7,7,958.1,536.536,6706.7
SO - 000840,9/22/2021,3/10/2021,23,Trade Supply,USD,RPT503,24,2,6,1005.0,793.95,6030.0
SO - 0001353,9/22/2021,9/27/2021,34,Logistics Partner,USD,RPT503,4,13,6,3082.0,1541.0,18492.0
SO - 0002324,9/22/2021,8/10/2021,25,Global Sales,EUR,RPT503,10,7,9,1165.8,559.584,10492.2
SO - 0005746,9/22/2021,1/10/2021,16,Global Sales,NZD,RPT503,76,2,10,5058.5,3844.46,50585.0
SO - 0006085,9/22/2021,6/10/2021,18,Global Sales,USD,RPT503,68,2,6,261.3,164.619,1567.8
SO - 0006873,9/22/2021,10/10/2021,45,Logistics Partner,USD,RPT503,91,3,7,978.2,430.408,6847.4
SO - 0001256,9/23/2021,9/29/2021,4,Trade Supply,USD,RPT503,14,7,12,241.2,185.724,2894.4
SO - 0002396,9/23/2021,2/10/2021,36,Global Sales,NZD,RPT503,92,1,7,917.9,614.993,6425.3
SO - 0004048,9/23/2021,9/10/2021,11,Global Sales,AUD,RPT503,67,8,11,5969.7,2626.668,65666.7
SO - 0004759,9/23/2021,4/10/2021,2,Logistics Partner,GBP,RPT503,79,1,7,3309.8,1886.586,23168.6
SO - 0005772,9/23/2021,9/27/2021,29,Trade Supply,USD,RPT503,25,1,8,3470.6,1874.124,27764.8
SO - 0006819,9/23/2021,9/26/2021,5,Trade Supply,USD,RPT503,63,8,9,1762.1,792.945,15858.9
SO - 0006841,9/23/2021,2/10/2021,21,Global Sales,GBP,RPT503,59,7,5,3819.0,2864.25,19095.0
SO - 000687,9/24/2021,9/10/2021,26,Logistics Partner,NZD,RPT503,7,13,7,1139.0,649.23,7973.0
SO - 0001671,9/24/2021,9/10/2021,7,Trade Supply,GBP,RPT503,50,2,6,1105.5,906.51,6633.0
SO - 0002420,9/24/2021,1/10/2021,16,Global Sales,USD,RPT503,79,2,11,6197.5,4338.25,68172.5
SO - 0002692,9/24/2021,10/10/2021,32,Trade Supply,USD,RPT503,59,13,10,1293.1,724.136,12931.0
SO - 0002803,9/24/2021,9/28/2021,30,Trade Supply,NZD,RPT503,90,1,7,1862.6,1434.202,13038.2
SO - 0003630,9/24/2021,7/10/2021,43,Logistics Partner,NZD,RPT503,82,13,11,194.3,163.212,2137.3
SO - 0003725,9/24/2021,8/10/2021,1,Logistics Partner,NZD,RPT503,70,9,12,2613.0,1776.84,31356.0
SO - 0004797,9/24/2021,7/10/2021,49,Global Sales,USD,RPT503,58,7,5,201.0,98.49,1005.0
SO - 0005223,9/24/2021,9/28/2021,38,Global Sales,USD,RPT503,7,5,7,2398.6,1990.838,16790.2
SO - 0005353,9/24/2021,3/10/2021,20,Trade Supply,AUD,RPT503,12,11,9,2505.8,1453.364,22552.2
SO - 0006643,9/24/2021,9/29/2021,23,Trade Supply,NZD,RPT503,62,13,8,1065.3,681.792,8522.4
SO - 0007081,9/24/2021,9/29/2021,45,Trade Supply,NZD,RPT503,54,12,7,911.2,646.952,6378.4
SO - 0007809,9/24/2021,11/10/2021,42,Logistics Partner,NZD,RPT503,23,11,7,5373.4,3062.838,37613.8
SO - 0007849,9/24/2021,9/29/2021,19,Trade Supply,NZD,RPT503,74,1,5,3832.4,1877.876,19162.0
SO - 0003555,9/25/2021,3/10/2021,15,Logistics Partner,AUD,RPT503,67,9,11,1829.1,859.677,20120.1
SO - 0003941,9/25/2021,10/13/2021,24,Trade Supply,USD,RPT503,99,2,10,167.5,110.55,1675.0
SO - 0003970,9/25/2021,7/10/2021,26,Trade Supply,NZD,RPT503,39,5,7,1005.0,613.05,7035.0
SO - 0004938,9/25/2021,4/10/2021,10,Trade Supply,NZD,RPT503,2,5,11,3879.3,1706.892,42672.3
SO - 0007935,9/25/2021,12/10/2021,3,Trade Supply,GBP,RPT503,82,3,7,2010.0,1688.4,14070.0
SO - 000813,9/26/2021,10/13/2021,20,Trade Supply,NZD,RPT503,78,11,8,2445.5,1100.475,19564.0
SO - 000913,9/26/2021,3/10/2021,6,Logistics Partner,AUD,RPT503,54,5,11,3819.0,1565.79,42009.0
SO - 0001047,9/26/2021,1/10/2021,29,Trade Supply,AUD,RPT503,26,5,9,2546.0,1502.14,22914.0
SO - 0002392,9/26/2021,3/10/2021,3,Trade Supply,AUD,RPT503,28,12,10,1340.0,844.2,13400.0
SO - 0002743,9/26/2021,3/10/2021,4,Trade Supply,USD,RPT503,10,8,12,3879.3,3142.233,46551.6
SO - 0008019,9/26/2021,9/30/2021,7,Trade Supply,USD,RPT503,67,8,12,6097.0,3353.35,73164.0
SO - 0008034,9/26/2021,7/10/2021,17,Trade Supply,USD,RPT503,81,7,5,998.3,588.997,4991.5
SO - 000849,9/27/2021,1/10/2021,16,Trade Supply,NZD,RPT503,6,11,8,254.6,165.49,2036.8
SO - 0003109,9/27/2021,10/13/2021,48,Trade Supply,USD,RPT503,76,7,11,1065.3,575.262,11718.3
SO - 0003317,9/27/2021,10/14/2021,1,Trade Supply,NZD,RPT503,96,7,12,2807.3,1908.964,33687.6
SO - 0005132,9/27/2021,12/10/2021,30,Logistics Partner,USD,RPT503,47,7,11,877.7,728.491,9654.7
SO - 0007612,9/27/2021,10/15/2021,9,Logistics Partner,AUD,RPT503,80,5,6,1165.8,617.874,6994.8
SO - 0001181,9/28/2021,4/10/2021,49,Logistics Partner,AUD,RPT503,66,14,6,2559.4,2124.302,15356.4
SO - 0002348,9/28/2021,10/16/2021,1,Logistics Partner,AUD,RPT503,19,7,9,261.3,143.715,2351.7
SO - 0002868,9/28/2021,4/10/2021,30,Trade Supply,USD,RPT503,16,13,10,2351.7,1787.292,23517.0
SO - 0003715,9/28/2021,10/10/2021,22,Trade Supply,AUD,RPT503,81,11,10,1085.4,857.466,10854.0
SO - 0004074,9/28/2021,3/10/2021,9,Global Sales,USD,RPT503,63,11,12,857.6,505.984,10291.2
SO - 0004869,9/28/2021,5/10/2021,4,Logistics Partner,NZD,RPT503,51,13,8,884.4,566.016,7075.2
SO - 0005021,9/28/2021,4/10/2021,24,Trade Supply,USD,RPT503,77,1,7,804.0,353.76,5628.0
SO - 0005113,9/28/2021,10/15/2021,20,Trade Supply,NZD,RPT503,47,1,6,2432.1,1361.976,14592.6
SO - 0005521,9/28/2021,7/10/2021,37,Global Sales,AUD,RPT503,37,9,6,1125.6,934.248,6753.6
SO - 0007930,9/28/2021,5/10/2021,15,Trade Supply,NZD,RPT503,35,12,9,1045.2,512.148,9406.8
SO - 0001073,9/29/2021,10/10/2021,50,Trade Supply,AUD,RPT503,34,7,8,1165.8,524.61,9326.4
SO - 0003319,9/29/2021,10/13/2021,28,Trade Supply,AUD,RPT503,77,11,9,3015.0,2381.85,27135.0
SO - 0004471,9/29/2021,5/10/2021,39,Trade Supply,GBP,RPT503,76,13,12,2237.8,939.876,26853.6
SO - 0005765,9/29/2021,10/14/2021,31,Logistics Partner,AUD,RPT503,63,9,7,5688.3,2502.852,39818.1
SO - 0001540,9/30/2021,10/13/2021,23,Trade Supply,NZD,RPT503,41,3,11,1098.8,780.148,12086.8
SO - 0001830,9/30/2021,9/10/2021,45,Trade Supply,NZD,RPT503,10,13,11,6143.9,4362.169,67582.9
SO - 0003057,9/30/2021,8/10/2021,29,Trade Supply,USD,RPT503,37,2,5,3510.8,1720.292,17554.0
SO - 0006507,9/30/2021,3/10/2021,5,Logistics Partner,NZD,RPT503,21,2,5,1038.5,643.87,5192.5
SO - 000265,1/10/2021,10/10/2021,45,Trade Supply,USD,RPT503,69,2,10,1038.5,758.105,10385.0
SO - 0001653,1/10/2021,10/13/2021,29,Logistics Partner,NZD,RPT503,41,11,9,2613.0,1358.76,23517.0
SO - 0003136,1/10/2021,7/10/2021,34,Logistics Partner,USD,RPT503,21,11,10,1876.0,1557.08,18760.0
SO - 0008041,1/10/2021,7/10/2021,33,Logistics Partner,NZD,RPT503,62,9,8,3899.4,1754.73,31195.2
SO - 0001374,2/10/2021,8/10/2021,43,Trade Supply,USD,RPT503,95,2,7,2391.9,1770.006,16743.3
SO - 0001819,2/10/2021,5/10/2021,24,Trade Supply,NZD,RPT503,48,2,12,2224.4,1801.764,26692.8
SO - 0002069,2/10/2021,10/17/2021,34,Global Sales,EUR,RPT503,76,1,11,5661.5,2321.215,62276.5
SO - 0004544,2/10/2021,10/16/2021,16,Global Sales,USD,RPT503,96,1,9,2412.0,1206.0,21708.0
SO - 0004612,2/10/2021,10/16/2021,21,Trade Supply,NZD,RPT503,13,5,12,2619.7,2069.563,31436.4
SO - 0006365,2/10/2021,10/16/2021,12,Logistics Partner,USD,RPT503,50,7,9,1005.0,532.65,9045.0
SO - 0006429,2/10/2021,10/19/2021,3,Trade Supply,NZD,RPT503,24,1,7,1159.1,672.278,8113.7
SO - 0007074,2/10/2021,6/10/2021,17,Trade Supply,NZD,RPT503,18,5,10,247.9,205.757,2479.0
SO - 0007670,2/10/2021,9/10/2021,8,Trade Supply,AUD,RPT503,78,3,9,6365.0,5219.3,57285.0
SO - 000695,3/10/2021,10/16/2021,43,Trade Supply,NZD,RPT503,92,7,9,3852.5,3043.475,34672.5
SO - 0001335,3/10/2021,8/10/2021,44,Trade Supply,AUD,RPT503,11,2,7,221.1,185.724,1547.7
SO - 0001360,3/10/2021,10/19/2021,6,Trade Supply,AUD,RPT503,44,2,11,3048.5,1768.13,33533.5
SO - 0001458,3/10/2021,8/10/2021,12,Trade Supply,NZD,RPT503,66,4,9,1011.7,435.031,9105.3
SO - 0002126,3/10/2021,8/10/2021,46,Logistics Partner,NZD,RPT503,52,14,7,1038.5,633.485,7269.5
SO - 0002373,3/10/2021,10/18/2021,9,Global Sales,USD,RPT503,83,7,8,174.2,101.036,1393.6
SO - 0003131,3/10/2021,10/17/2021,20,Global Sales,NZD,RPT503,90,11,5,1916.2,1073.072,9581.0
SO - 0003836,3/10/2021,10/14/2021,12,Global Sales,NZD,RPT503,64,13,7,207.7,114.235,1453.9
SO - 0003888,3/10/2021,10/17/2021,15,Global Sales,NZD,RPT503,75,1,12,951.4,618.41,11416.8
SO - 0004043,3/10/2021,6/10/2021,38,Trade Supply,NZD,RPT503,91,1,11,1159.1,475.231,12750.1
SO - 0004891,3/10/2021,7/10/2021,36,Trade Supply,NZD,RPT503,62,2,5,194.3,161.269,971.5
SO - 0004975,3/10/2021,10/21/2021,47,Logistics Partner,NZD,RPT503,85,2,6,5333.2,4426.556,31999.2
SO - 0006526,3/10/2021,12/10/2021,33,Trade Supply,NZD,RPT503,27,7,5,1782.2,1283.184,8911.0
SO - 0007431,3/10/2021,10/17/2021,20,Logistics Partner,USD,RPT503,14,13,9,911.2,537.608,8200.8
SO - 000205,4/10/2021,10/14/2021,14,Trade Supply,GBP,RPT503,78,13,8,5916.1,4673.719,47328.8
SO - 000257,4/10/2021,10/20/2021,41,Trade Supply,NZD,RPT503,6,2,10,2003.3,801.32,20033.0
SO - 0003329,4/10/2021,10/20/2021,32,Trade Supply,USD,RPT503,82,11,6,1118.9,559.45,6713.4
SO - 0003742,4/10/2021,10/15/2021,1,Trade Supply,USD,RPT503,13,1,6,1031.8,691.306,6190.8
SO - 0003856,4/10/2021,10/17/2021,18,Logistics Partner,USD,RPT503,12,5,11,837.5,368.5,9212.5
SO - 0003957,4/10/2021,10/18/2021,1,Trade Supply,USD,RPT503,35,2,11,3879.3,2366.373,42672.3
SO - 0004267,4/10/2021,10/13/2021,27,Trade Supply,USD,RPT503,28,13,9,1701.8,1123.188,15316.2
SO - 0004736,4/10/2021,10/16/2021,11,Trade Supply,GBP,RPT503,6,2,12,5118.8,3020.092,61425.6
SO - 0006773,4/10/2021,10/19/2021,4,Trade Supply,NZD,RPT503,67,11,7,3041.8,2555.112,21292.6
SO - 0006796,4/10/2021,10/17/2021,35,Trade Supply,NZD,RPT503,94,12,10,5735.2,4416.104,57352.0
SO - 0007199,4/10/2021,10/22/2021,13,Global Sales,NZD,RPT503,100,11,9,1005.0,663.3,9045.0
SO - 0007304,4/10/2021,10/13/2021,35,Logistics Partner,EUR,RPT503,69,13,11,2257.9,1174.108,24836.9
SO - 0008050,4/10/2021,10/22/2021,7,Logistics Partner,AUD,RPT503,69,8,11,2318.2,1483.648,25500.2
SO - 000530,5/10/2021,10/18/2021,48,Logistics Partner,NZD,RPT503,39,1,6,1681.7,1126.739,10090.2
SO - 000694,5/10/2021,10/10/2021,16,Trade Supply,USD,RPT503,37,2,5,991.6,525.548,4958.0
SO - 000773,5/10/2021,10/17/2021,49,Logistics Partner,EUR,RPT503,66,2,12,3055.2,1497.048,36662.4
SO - 000820,5/10/2021,10/17/2021,42,Logistics Partner,GBP,RPT503,86,7,7,227.8,93.398,1594.6
SO - 0002487,5/10/2021,10/20/2021,50,Logistics Partner,NZD,RPT503,97,11,6,3859.2,1968.192,23155.2
SO - 0004061,5/10/2021,10/20/2021,50,Logistics Partner,NZD,RPT503,65,1,6,3993.2,1757.008,23959.2
SO - 0005305,5/10/2021,10/23/2021,46,Global Sales,NZD,RPT503,95,5,9,971.5,446.89,8743.5
SO - 0006573,5/10/2021,10/22/2021,10,Trade Supply,NZD,RPT503,73,11,7,2432.1,2067.285,17024.7
SO - 000446,6/10/2021,10/21/2021,23,Trade Supply,USD,RPT503,29,7,7,844.2,346.122,5909.4
SO - 000558,6/10/2021,12/10/2021,35,Logistics Partner,GBP,RPT503,9,13,6,2298.1,1539.727,13788.6
SO - 0001343,6/10/2021,10/19/2021,22,Trade Supply,GBP,RPT503,72,2,12,1078.7,528.563,12944.4
SO - 0001436,6/10/2021,10/13/2021,4,Logistics Partner,AUD,RPT503,48,9,7,877.7,649.498,6143.9
SO - 0004497,6/10/2021,10/20/2021,22,Logistics Partner,EUR,RPT503,20,1,7,884.4,689.832,6190.8
SO - 0004539,6/10/2021,10/14/2021,11,Global Sales,NZD,RPT503,18,5,10,3879.3,3103.44,38793.0
SO - 0005740,6/10/2021,10/18/2021,3,Global Sales,NZD,RPT503,24,13,11,2311.5,1502.475,25426.5
SO - 0007543,6/10/2021,10/17/2021,37,Trade Supply,NZD,RPT503,78,13,5,1118.9,850.364,5594.5
SO - 000447,7/10/2021,10/13/2021,25,Global Sales,USD,RPT503,93,11,6,3490.7,1780.257,20944.2
SO - 000953,7/10/2021,11/10/2021,29,Global Sales,USD,RPT503,30,3,7,1775.5,905.505,12428.5
SO - 0001825,7/10/2021,10/19/2021,35,Trade Supply,NZD,RPT503,22,3,12,897.8,619.482,10773.6
SO - 0003254,7/10/2021,10/14/2021,7,Trade Supply,EUR,RPT503,9,7,7,777.2,528.496,5440.4
SO - 0004998,7/10/2021,11/10/2021,47,Logistics Partner,AUD,RPT503,49,1,12,911.2,537.608,10934.4
SO - 0006115,7/10/2021,10/24/2021,14,Trade Supply,EUR,RPT503,49,5,6,1072.0,825.44,6432.0
SO - 0007103,7/10/2021,10/13/2021,17,Trade Supply,NZD,RPT503,32,13,12,3825.7,2869.275,45908.4
SO - 0007453,7/10/2021,12/10/2021,38,Global Sales,USD,RPT503,2,13,12,730.3,452.786,8763.6
SO - 0002624,8/10/2021,10/19/2021,50,Logistics Partner,AUD,RPT503,28,2,10,1085.4,911.736,10854.0
SO - 0003401,8/10/2021,10/25/2021,38,Global Sales,AUD,RPT503,59,9,6,3946.3,2801.873,23677.8
SO - 0003440,8/10/2021,10/14/2021,31,Trade Supply,AUD,RPT503,87,7,11,3651.5,2117.87,40166.5
SO - 0006851,8/10/2021,10/16/2021,9,Trade Supply,AUD,RPT503,12,9,5,6425.3,3662.421,32126.5
SO - 000172,9/10/2021,10/27/2021,6,Trade Supply,GBP,RPT503,2,7,6,1005.0,743.7,6030.0
SO - 0002839,9/10/2021,10/24/2021,9,Trade Supply,NZD,RPT503,50,2,6,931.3,474.963,5587.8
SO - 0003761,9/10/2021,10/20/2021,41,Trade Supply,GBP,RPT503,92,7,10,174.2,116.714,1742.0
SO - 0004663,9/10/2021,10/18/2021,25,Trade Supply,USD,RPT503,76,1,8,1065.3,777.669,8522.4
SO - 0005688,9/10/2021,10/25/2021,3,Global Sales,AUD,RPT503,87,1,9,3926.2,2473.506,35335.8
SO - 0007744,9/10/2021,10/21/2021,17,Global Sales,NZD,RPT503,83,14,11,4020.0,2894.4,44220.0
SO - 0001124,10/10/2021,10/21/2021,20,Trade Supply,NZD,RPT503,53,7,11,1695.1,1101.815,18646.1
SO - 0001165,10/10/2021,10/21/2021,43,Trade Supply,AUD,RPT503,40,1,5,5467.2,3444.336,27336.0
SO - 0001434,10/10/2021,10/20/2021,47,Trade Supply,NZD,RPT503,83,1,12,1018.4,539.752,12220.8
SO - 0002565,10/10/2021,10/26/2021,42,Logistics Partner,USD,RPT503,66,7,5,1125.6,709.128,5628.0
SO - 0005177,10/10/2021,10/25/2021,19,Trade Supply,AUD,RPT503,23,1,12,1065.3,532.65,12783.6
SO - 0006523,10/10/2021,10/18/2021,13,Global Sales,USD,RPT503,97,2,11,2512.5,1381.875,27637.5
SO - 0006849,10/10/2021,10/27/2021,6,Logistics Partner,USD,RPT503,34,1,5,2458.9,1549.107,12294.5
SO - 000129,11/10/2021,10/25/2021,22,Logistics Partner,USD,RPT503,67,11,10,5976.4,2450.324,59764.0
SO - 0001740,11/10/2021,10/17/2021,45,Trade Supply,EUR,RPT503,82,1,5,1065.3,639.18,5326.5
SO - 0002325,11/10/2021,10/17/2021,47,Trade Supply,USD,RPT503,64,5,12,978.2,674.958,11738.4
SO - 0002808,11/10/2021,10/24/2021,15,Trade Supply,GBP,RPT503,25,10,9,991.6,694.12,8924.4
SO - 0003471,11/10/2021,10/29/2021,25,Trade Supply,NZD,RPT503,42,7,5,1051.9,462.836,5259.5
SO - 0004848,11/10/2021,10/28/2021,31,Global Sales,AUD,RPT503,38,13,6,5922.8,2428.348,35536.8
SO - 0006265,11/10/2021,10/14/2021,47,Trade Supply,NZD,RPT503,74,7,10,1105.5,674.355,11055.0
SO - 0007880,11/10/2021,10/29/2021,13,Trade Supply,USD,RPT503,88,7,12,3999.9,1839.954,47998.8
SO - 000967,12/10/2021,10/29/2021,28,Trade Supply,AUD,RPT503,99,10,8,2412.0,1447.2,19296.0
SO - 0004446,12/10/2021,10/25/2021,46,Trade Supply,AUD,RPT503,53,1,12,1708.5,683.4,20502.0
SO - 0004842,12/10/2021,10/28/2021,5,Trade Supply,USD,RPT503,96,1,7,1085.4,596.97,7597.8
SO - 0005986,12/10/2021,10/20/2021,6,Trade Supply,NZD,RPT503,46,7,11,3939.6,2560.74,43335.6
SO - 0006165,12/10/2021,10/19/2021,46,Trade Supply,AUD,RPT503,76,13,12,241.2,103.716,2894.4
SO - 0006726,12/10/2021,10/16/2021,15,Trade Supply,USD,RPT503,95,4,9,1018.4,712.88,9165.6
SO - 0006753,12/10/2021,10/17/2021,30,Trade Supply,USD,RPT503,82,11,10,737.0,449.57,7370.0
SO - 0007271,12/10/2021,10/15/2021,34,Trade Supply,GBP,RPT503,76,2,10,2512.5,1030.125,25125.0
SO - 0002832,10/13/2021,10/17/2021,11,Logistics Partner,NZD,RPT503,48,5,9,1762.1,1462.543,15858.9
